"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"io.github.arnaudroger.LoopBenchmark.testBackwardLoop","thrpt",1,200,240665052.879078,677162.021342,"ops/s",1
"io.github.arnaudroger.LoopBenchmark.testBackwardLoop","thrpt",1,200,146681879.384723,477011.056227,"ops/s",10
"io.github.arnaudroger.LoopBenchmark.testBackwardLoop","thrpt",1,200,3686316.627564,4270.291187,"ops/s",1000
"io.github.arnaudroger.LoopBenchmark.testBackwardLoop","thrpt",1,200,3761.606808,9.993072,"ops/s",1000000
"io.github.arnaudroger.LoopBenchmark.testForwardLoop","thrpt",1,200,249774234.310083,326052.331311,"ops/s",1
"io.github.arnaudroger.LoopBenchmark.testForwardLoop","thrpt",1,200,154017527.248513,457191.148793,"ops/s",10
"io.github.arnaudroger.LoopBenchmark.testForwardLoop","thrpt",1,200,3722753.790186,10607.033963,"ops/s",1000
"io.github.arnaudroger.LoopBenchmark.testForwardLoop","thrpt",1,200,3763.995730,10.404548,"ops/s",1000000
